"GEO_ID","NAME","H1_001N","H1_002N","H1_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant",
"1000000US210670001011058","Block 1058, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","6","1","5",
"1000000US210670001011059","Block 1059, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001011060","Block 1060, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","14","13","1",
"1000000US210670001011061","Block 1061, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001011062","Block 1062, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","13","12","1",
"1000000US210670001011063","Block 1063, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","17","10","7",
"1000000US210670001011064","Block 1064, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001011065","Block 1065, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001011066","Block 1066, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001011067","Block 1067, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","76","64","12",
"1000000US210670001011068","Block 1068, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","6","4","2",
"1000000US210670001011069","Block 1069, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","17","12","5",
"1000000US210670001011070","Block 1070, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","40","40","0",
"1000000US210670001012000","Block 2000, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001012001","Block 2001, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001012002","Block 2002, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001012003","Block 2003, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001012004","Block 2004, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","203","186","17",
"1000000US210670001012005","Block 2005, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001012006","Block 2006, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001012007","Block 2007, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001012008","Block 2008, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","170","164","6",
"1000000US210670001012009","Block 2009, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001012010","Block 2010, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001012011","Block 2011, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001012012","Block 2012, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","94","81","13",
"1000000US210670001012013","Block 2013, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","97","88","9",
"1000000US210670001012014","Block 2014, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","9","0","9",
"1000000US210670001012015","Block 2015, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001012016","Block 2016, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","128","109","19",
"1000000US210670001012017","Block 2017, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","2","0","2",
"1000000US210670001012018","Block 2018, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001012019","Block 2019, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001012020","Block 2020, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001012021","Block 2021, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001012022","Block 2022, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","98","93","5",
"1000000US210670001012023","Block 2023, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","82","59","23",
"1000000US210670001012024","Block 2024, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","101","88","13",
"1000000US210670001012025","Block 2025, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","41","36","5",
"1000000US210670001012026","Block 2026, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001012027","Block 2027, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001012028","Block 2028, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","54","45","9",
"1000000US210670001012029","Block 2029, Block Group 2, Census Tract 1.01, Fayette County, Kentucky","51","43","8",
"1000000US210670001021000","Block 1000, Block Group 1, Census Tract 1.02, Fayette County, Kentucky","69","48","21",
"1000000US210670001021001","Block 1001, Block Group 1, Census Tract 1.02, Fayette County, Kentucky","4","4","0",
"1000000US210670001021002","Block 1002, Block Group 1, Census Tract 1.02, Fayette County, Kentucky","57","42","15",
"1000000US210670001021003","Block 1003, Block Group 1, Census Tract 1.02, Fayette County, Kentucky","5","4","1",
"1000000US210670001021004","Block 1004, Block Group 1, Census Tract 1.02, Fayette County, Kentucky","65","42","23",
"1000000US210670001021005","Block 1005, Block Group 1, Census Tract 1.02, Fayette County, Kentucky","149","130","19",
"1000000US210670001021006","Block 1006, Block Group 1, Census Tract 1.02, Fayette County, Kentucky","65","64","1",
"1000000US210670001021007","Block 1007, Block Group 1, Census Tract 1.02, Fayette County, Kentucky","1","0","1",
"1000000US210670001022000","Block 2000, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","4","4","0",
"1000000US210670001022001","Block 2001, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","59","47","12",
"1000000US210670001022002","Block 2002, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","16","13","3",
"1000000US210670001022003","Block 2003, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","312","272","40",
"1000000US210670001022004","Block 2004, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","23","23","0",
"1000000US210670001022005","Block 2005, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","23","23","0",
"1000000US210670001022006","Block 2006, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","15","15","0",
"1000000US210670001022007","Block 2007, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","18","13","5",
"1000000US210670001022008","Block 2008, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","17","17","0",
"1000000US210670001022009","Block 2009, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","82","60","22",
"1000000US210670001022010","Block 2010, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","0","0","0",
"1000000US210670001022011","Block 2011, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","0","0","0",
"1000000US210670001022012","Block 2012, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","0","0","0",
"1000000US210670001022013","Block 2013, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","0","0","0",
"1000000US210670001022014","Block 2014, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","25","25","0",
"1000000US210670001022015","Block 2015, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","14","6","8",
"1000000US210670001022016","Block 2016, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","47","35","12",
"1000000US210670001022017","Block 2017, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","55","50","5",
"1000000US210670001022018","Block 2018, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","29","28","1",
"1000000US210670001022019","Block 2019, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","48","34","14",
"1000000US210670001022020","Block 2020, Block Group 2, Census Tract 1.02, Fayette County, Kentucky","0","0","0",
"1000000US210670002001000","Block 1000, Block Group 1, Census Tract 2, Fayette County, Kentucky","0","0","0",
"1000000US210670002001001","Block 1001, Block Group 1, Census Tract 2, Fayette County, Kentucky","1","1","0",
"1000000US210670002001002","Block 1002, Block Group 1, Census Tract 2, Fayette County, Kentucky","7","0","7",
"1000000US210670002001003","Block 1003, Block Group 1, Census Tract 2, Fayette County, Kentucky","106","101","5",
"1000000US210670002001004","Block 1004, Block Group 1, Census Tract 2, Fayette County, Kentucky","3","3","0",
"1000000US210670002001005","Block 1005, Block Group 1, Census Tract 2, Fayette County, Kentucky","68","68","0",
"1000000US210670002001006","Block 1006, Block Group 1, Census Tract 2, Fayette County, Kentucky","23","23","0",
"1000000US210670002001007","Block 1007, Block Group 1, Census Tract 2, Fayette County, Kentucky","19","15","4",
"1000000US210670002001008","Block 1008, Block Group 1, Census Tract 2, Fayette County, Kentucky","49","49","0",
"1000000US210670002001009","Block 1009, Block Group 1, Census Tract 2, Fayette County, Kentucky","31","31","0",
