identifier,coords,lat,long
5374,"(38.077939, -84.46739)",38.077939,-84.46739
7894,"(38.022347, -84.502053)",38.022347,-84.502053
44442,"(37.974364, -84.496009)",37.974364,-84.496009
124,"(38.14429, -84.352922)",38.14429,-84.352922
38746,"(38.14098390000001, -84.3466717)",38.14098390000001,-84.3466717
32143,"(38.1394306, -84.3432872)",38.1394306,-84.3432872
86,"(38.191827199999985, -84.3355112)",38.191827199999985,-84.3355112
39428,"(38.2088461, -84.35990800000002)",38.2088461,-84.35990800000002
5395,"(38.196227, -84.368637)",38.196227,-84.368637
35958,"(38.194441700000006, -84.33695440000001)",38.194441700000006,-84.33695440000001
85,"(38.194383, -84.3355189)",38.194383,-84.3355189
42927,"(38.10940419999999, -84.3687348)",38.10940419999999,-84.3687348
37944,"(38.11439579999999, -84.36259960000001)",38.11439579999999,-84.36259960000001
33732,"(38.1698255, -84.3610463)",38.1698255,-84.3610463
32093,"(38.108612699999995, -84.37046430000001)",38.108612699999995,-84.37046430000001
150,"(38.113517499999986, -84.3573887)",38.113517499999986,-84.3573887
147,"(38.1139447, -84.3569426)",38.1139447,-84.3569426
998,"(38.116327000000005, -84.359496)",38.116327000000005,-84.359496
35018,"(38.1293005, -84.3376949)",38.1293005,-84.3376949
169,"(38.15037600000001, -84.343166)",38.15037600000001,-84.343166
166,"(38.15090299999999, -84.344102)",38.15090299999999,-84.344102
206,"(38.153897, -84.343897)",38.153897,-84.343897
37463,"(38.15021469999999, -84.3443862)",38.15021469999999,-84.3443862
37454,"(38.145244600000005, -84.3647215)",38.145244600000005,-84.3647215
344,"(38.08850019999999, -84.2683223)",38.08850019999999,-84.2683223
178,"(38.08979500000001, -84.2682)",38.08979500000001,-84.2682
40274,"(38.12354249999999, -84.35014250000002)",38.12354249999999,-84.35014250000002
763,"(38.102476, -84.358309)",38.102476,-84.358309
580,"(38.0829855, -84.2949546)",38.0829855,-84.2949546
40064,"(38.0833185, -84.2880168)",38.0833185,-84.2880168
42395,"(38.223116000000005, -84.3806755)",38.223116000000005,-84.3806755
283,"(38.22289800000001, -84.376893)",38.22289800000001,-84.376893
34098,"(38.22356679999999, -84.3898581)",38.22356679999999,-84.3898581
32804,"(38.22289730000001, -84.3872319)",38.22289730000001,-84.3872319
336,"(38.222371, -84.388039)",38.222371,-84.388039
32005,"(38.2237334, -84.4020934)",38.2237334,-84.4020934
467,"(38.08512269999999, -84.26865310000001)",38.08512269999999,-84.26865310000001
97,"(38.11451, -84.362446)",38.11451,-84.362446
39329,"(38.07621, -84.2695779)",38.07621,-84.2695779
353,"(38.11555999999999, -84.360762)",38.11555999999999,-84.360762
41993,"(38.109724899999996, -84.3105865)",38.109724899999996,-84.3105865
741,"(38.12651460000001, -84.3570619)",38.12651460000001,-84.3570619
2237,"(38.05901550000001, -84.4835064)",38.05901550000001,-84.4835064
32163,"(38.07217240000001, -84.2700402)",38.07217240000001,-84.2700402
40346,"(38.07744960000001, -84.2694293)",38.07744960000001,-84.2694293
33354,"(38.081618, -84.2689831)",38.081618,-84.2689831
40341,"(38.0898946, -84.2681896)",38.0898946,-84.2681896
2385,"(38.0584643, -84.4828573)",38.0584643,-84.4828573
32398,"(38.082610399999986, -84.2983939)",38.082610399999986,-84.2983939
35455,"(38.2294953, -84.3581082)",38.2294953,-84.3581082
622,"(38.229179, -84.35814)",38.229179,-84.35814
33711,"(38.2280857, -84.3582502)",38.2280857,-84.3582502
233,"(38.22152719999998, -84.3535129)",38.22152719999998,-84.3535129
39429,"(38.199762899999996, -84.3661693)",38.199762899999996,-84.3661693
24027,"(38.1342759, -84.3675176)",38.1342759,-84.3675176
32141,"(38.12970620000001, -84.360982)",38.12970620000001,-84.360982
885,"(38.1357063, -84.365872)",38.1357063,-84.365872
32126,"(38.08639469999998, -84.3352503)",38.08639469999998,-84.3352503
37861,"(38.1048589, -84.3423765)",38.1048589,-84.3423765
758,"(38.1034898, -84.3526858)",38.1034898,-84.3526858
826,"(38.1133183, -84.3027045)",38.1133183,-84.3027045
38171,"(38.10577909999999, -84.33879290000002)",38.10577909999999,-84.33879290000002
35235,"(38.10695169999999, -84.3334365)",38.10695169999999,-84.3334365
33975,"(38.1064621, -84.3299764)",38.1064621,-84.3299764
32477,"(38.0960274, -84.3159888)",38.0960274,-84.3159888
842,"(38.09661299999999, -84.315935)",38.09661299999999,-84.315935
843,"(38.097989, -84.315865)",38.097989,-84.315865
32334,"(38.100978099999985, -84.3159067)",38.100978099999985,-84.3159067
845,"(38.101508, -84.315916)",38.101508,-84.315916
40029,"(38.104524399999995, -84.3159529)",38.104524399999995,-84.3159529
39703,"(38.13722739999999, -84.3656813)",38.13722739999999,-84.3656813
887,"(38.1387, -84.36666)",38.1387,-84.36666
38453,"(38.22368759999999, -84.3943363)",38.22368759999999,-84.3943363
39690,"(38.116646100000004, -84.3589802)",38.116646100000004,-84.3589802
392,"(38.115884599999994, -84.3602145)",38.115884599999994,-84.3602145
2399,"(38.006192, -84.403873)",38.006192,-84.403873
159,"(38.129381, -84.33742)",38.129381,-84.33742
997,"(38.11783539999999, -84.3572298)",38.11783539999999,-84.3572298
33372,"(38.1399289, -84.3582125)",38.1399289,-84.3582125
33978,"(38.1425088, -84.3584379)",38.1425088,-84.3584379
1033,"(38.141363000000005, -84.35707)",38.141363000000005,-84.35707
1073,"(38.2214507, -84.352134)",38.2214507,-84.352134
709,"(38.221493, -84.3529356)",38.221493,-84.3529356
1071,"(38.2237476, -84.4057625)",38.2237476,-84.4057625
1172,"(38.22627200000001, -84.34666200000001)",38.22627200000001,-84.34666200000001
32099,"(38.15087740000001, -84.3408473)",38.15087740000001,-84.3408473
36730,"(38.14275419999999, -84.354369)",38.14275419999999,-84.354369
39689,"(38.19422619999999, -84.3313463)",38.19422619999999,-84.3313463
31903,"(38.08474519999999, -84.2623151)",38.08474519999999,-84.2623151
1164,"(38.084739400000004, -84.262208)",38.084739400000004,-84.262208
34711,"(38.08465060000001, -84.26092220000001)",38.08465060000001,-84.26092220000001
1166,"(38.08460099999999, -84.260179)",38.08460099999999,-84.260179
38148,"(38.1636145, -84.3517787)",38.1636145,-84.3517787
41878,"(37.91552, -84.3207669)",37.91552,-84.3207669
41877,"(37.9174455, -84.3221146)",37.9174455,-84.3221146
37939,"(38.0620376, -84.2710913)",38.0620376,-84.2710913
39110,"(38.006084699999995, -84.3082748)",38.006084699999995,-84.3082748
32555,"(37.91845510000001, -84.3418518)",37.91845510000001,-84.3418518
1424,"(37.91385999999999, -84.320751)",37.91385999999999,-84.320751
33955,"(37.9312468, -84.3371561)",37.9312468,-84.3371561
1350,"(38.02229979999999, -84.2593982)",38.02229979999999,-84.2593982
36381,"(38.0278019, -84.27747140000001)",38.0278019,-84.27747140000001
42485,"(38.0231371, -84.2621163)",38.0231371,-84.2621163
43547,"(37.9276999, -84.3187507)",37.9276999,-84.3187507
32727,"(37.9937882, -84.2827169)",37.9937882,-84.2827169
42443,"(38.039916700000006, -84.2729512)",38.039916700000006,-84.2729512
42473,"(37.9912097, -84.3041253)",37.9912097,-84.3041253
1408,"(38.03237099999998, -84.283752)",38.03237099999998,-84.283752
41879,"(37.9149514, -84.3207762)",37.9149514,-84.3207762
1803,"(38.030524, -84.284656)",38.030524,-84.284656
39060,"(37.92945869999999, -84.3033336)",37.92945869999999,-84.3033336
1441,"(38.033336, -84.270106)",38.033336,-84.270106
1731,"(38.03352989999999, -84.2719781)",38.03352989999999,-84.2719781
2400,"(38.00613999999999, -84.40377730000002)",38.00613999999999,-84.40377730000002
36107,"(37.93497109999999, -84.3108864)",37.93497109999999,-84.3108864
32085,"(37.94944209999999, -84.3091594)",37.94944209999999,-84.3091594
1455,"(37.930686, -84.306132)",37.930686,-84.306132
34007,"(37.93458429999999, -84.3152546)",37.93458429999999,-84.3152546
35511,"(37.9343965, -84.3241812)",37.9343965,-84.3241812
42268,"(37.9341378, -84.3277124)",37.9341378,-84.3277124
1487,"(38.03462, -84.268804)",38.03462,-84.268804
37978,"(38.036585099999996, -84.2729982)",38.036585099999996,-84.2729982
42879,"(38.03444649999999, -84.2674964)",38.03444649999999,-84.2674964
1520,"(38.035247999999996, -84.282521)",38.035247999999996,-84.282521
1521,"(38.035402, -84.283601)",38.035402,-84.283601
1522,"(38.033325999999995, -84.283776)",38.033325999999995,-84.283776
36377,"(38.0365037, -84.2609406)",38.0365037,-84.2609406
1540,"(37.9279034, -84.3186956)",37.9279034,-84.3186956
39704,"(38.035049, -84.2687135)",38.035049,-84.2687135
43546,"(37.9289673, -84.31866800000002)",37.9289673,-84.31866800000002
32589,"(37.9231969, -84.3209371)",37.9231969,-84.3209371
1542,"(37.92285100000001, -84.321109)",37.92285100000001,-84.321109
35760,"(37.914994400000005, -84.331588)",37.914994400000005,-84.331588
33575,"(37.91532279999999, -84.3326352)",37.91532279999999,-84.3326352
18813,"(37.986513499999994, -84.4943102)",37.986513499999994,-84.4943102
1818,"(38.03740799999999, -84.282685)",38.03740799999999,-84.282685
1644,"(38.037735000000005, -84.282088)",38.037735000000005,-84.282088
1645,"(38.03913599999999, -84.281893)",38.03913599999999,-84.281893
21028,"(37.98504450000001, -84.4948834)",37.98504450000001,-84.4948834
1702,"(38.03858399999999, -84.282711)",38.03858399999999,-84.282711
1952,"(38.037651, -84.283606)",38.037651,-84.283606
21030,"(37.98540169999999, -84.4955725)",37.98540169999999,-84.4955725
